DENSITY,Num,Origin,Year,Somme Ox,Al2O3,B2O3,BaO,CaO,Fe2O3,K2O,Li2O,MgO,Na2O,SiO2,SrO,ZrO2
1.86,781,VERA,1979,184.71,15.51,90,0,42.64,0,0,0,0,0,36.56,0,0
3.8,410009,SCIGLASS,1992,175.37,0,60.22,0,0,0,0,35.07,0,0,80.08,0,0
5.51,670,VERA,1968,137.19,14.74,43.48,1.17,0.85,0,0,4.31,0,13.21,59.43,0,0
2.24,10196,VERA,1973,132,10.06,20,0,0,0,0,12,0,35.51,54.43,0,0
2.45,9411,VERA,1955,131.8,0,0,0,0,0,31.8,0,0,20.508,79.492,0,0
2.24,10193,VERA,1973,127.7,10.19,15,0,12.54,0,0,12.7,0,22.12,55.15,0,0
2.46,668,VERA,1980,126.63,15.56,0,1.17,0.86,0,33,0,0,13.24,62.8,0,0
2.85,10441,VERA,1909,125.01,44.46,0,0,7.76,0,0,0,25,13.68,34.11,0,0
2.85,10440,VERA,1909,121.7,42.16,0,0,8.08,0,0,0,21.7,14.24,35.52,0,0
2.87,10439,VERA,1909,119.7,39.72,0,0,8.42,0,0,0,19.7,14.84,37.02,0,0
2.3,35582,SCIGLASS,1994,117.27,0,0,0,0,0,0,60,0,0,57.27,0,0
2.29,96641,SCIGLASS,1986,117.27,0,0,0,0,0,0,60,0,0,57.27,0,0
2.31,35581,SCIGLASS,1994,117.25,0,0,0,0,0,0,56.52,0,0,60.73,0,0
2.32,35580,SCIGLASS,1994,117.21,0,0,0,0,0,0,55.55,0,0,61.66,0,0
2.32,35579,SCIGLASS,1994,117.16,0,0,0,0,0,0,54.54,0,0,62.62,0,0
2.29,35584,SCIGLASS,1994,117.09,0,0,0,0,0,0,63.63,0,0,53.46,0,0
2.34,35578,SCIGLASS,1994,117.01,0,0,0,0,0,0,52.38,0,0,64.63,0,0
2.28,14977,SCIGLASS,1987,116.79,0,0,0,0,0,0,66.66,0,0,50.13,0,0
