DENSITY,GLASNO,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,Li2O,MgO,ZRO2,FemOn,"Somme (Si, B, Na, Ca, Al, Zr, K, Li, Mg, Fe)"
2.35,20042,70.91,20.05,0,0,0,6.09,2.93,0,0,0,99.98
2.4,20043,61.9,26.26,0,0,0,7.98,3.84,0,0,0,99.98
2.46,20044,44.82,38.03,0,0,0,11.56,5.57,0,0,0,99.98
2.38,20045,64.44,27.61,0,0,0,0,7.93,0,0,0,99.98
2.31,20046,75.33,17.43,0,0,0,4.86,2.36,0,0,0,99.98
2.52,20047,61.33,26.61,0,7.23,0,0,0,4.81,0,0,99.98
2.49,20048,63.29,24.46,0,6.27,0,0,0,5.96,0,0,99.98
2.44,20049,68.91,21.57,0,5.04,0,0,0,4.46,0,0,99.98
1.91,123482,0,0,96.78,0,0,0,2.49,0.73,0,0,100
1.92,123483,0,0,96.22,0,0,0,2.47,1.31,0,0,100
1.94,123484,0,0,95.07,0,0,0,2.48,2.44,0,0,99.99
1.98,123485,0,0,93.96,0,0,0,2.48,3.55,0,0,99.99
2.08,123486,0,0,93.42,0,0,0,2.3,4.28,0,0,100
2.13,123487,0,0,91.78,0,0,0,2.45,5.77,0,0,100
2.14,123488,0,0,90.9,0,0,0,2.39,6.71,0,0,100
2.16,123489,0,0,89.73,0,0,0,2.44,7.82,0,0,99.99
2.18,123490,0,0,88.72,0,0,0,2.43,8.85,0,0,100
2.19,123491,0,0,87.91,0,0,0,2.33,9.75,0,0,99.99
1.92,123492,0,0,94.93,0,0,0,4.36,0.68,0,0,99.97
1.98,123493,0,0,93.63,0,0,0,4.38,1.99,0,0,100
2.05,123494,0,0,92.52,0,0,0,4.5,2.98,0,0,100
2.13,123495,0,0,91,0,0,0,4.98,4.01,0,0,99.99
2.15,123496,0,0,90.85,0,0,0,4.78,4.37,0,0,100
2.16,123497,0,0,89.38,0,0,0,4.85,5.76,0,0,99.99
2.18,123498,0,0,88.17,0,0,0,4.98,6.85,0,0,100
2.2,123499,0,0,87.01,0,0,0,4.93,8.06,0,0,100
2.23,123500,0,0,86.02,0,0,0,4.86,9.12,0,0,100
2.24,123501,0,0,85.36,0,0,0,4.95,9.69,0,0,100
2.06,123502,0,0,91.59,0,0,0,7.4,1.01,0,0,100
2.13,123503,0,0,90.64,0,0,0,7.48,1.88,0,0,100
2.16,123504,0,0,89.75,0,0,0,7.4,2.85,0,0,100
2.16,123505,0,0,88.78,0,0,0,7.36,3.86,0,0,100
2.18,123506,0,0,87.77,0,0,0,7.07,5.16,0,0,100
2.2,123507,0,0,86.94,0,0,0,7.11,5.95,0,0,100
2.23,123508,0,0,85.81,0,0,0,7.27,6.92,0,0,100
2.24,123509,0,0,84.68,0,0,0,7.41,7.91,0,0,100
2.35,123510,0,0,84.23,0,0,0,7.28,8.49,0,0,100
2.36,123511,0,0,82.91,0,0,0,7.35,9.74,0,0,100
2.14,123512,0,0,89.2,0,0,0,9.78,1.02,0,0,100
2.17,123513,0,0,88.14,0,0,0,9.81,2.05,0,0,100
2.18,123514,0,0,87.46,0,0,0,9.69,2.85,0,0,100
2.2,123515,0,0,86.1,0,0,0,9.89,4.01,0,0,100
2.25,123516,0,0,85.03,0,0,0,9.91,5.06,0,0,100
2.26,123517,0,0,84.14,0,0,0,9.81,6.03,0,0,99.98
2.34,123518,0,0,83.05,0,0,0,9.93,7.01,0,0,99.99
2.36,123519,0,0,82,0,0,0,9.98,8.02,0,0,100
2.36,123520,0,0,80.93,0,0,0,10.08,8.98,0,0,99.99
