DENSITY,GLASNO,"SOMME (SI, B, NA, CA, AL, ZR, K, LI, MG, FE)",Al_calc,O_calc,B_calc,Ca_calc,K_calc,Li_calc,Mg_calc,Na_calc,Si_calc,Zr_calc,Fe_calc
2.35,20042,99.98,10.611476594800559,50.34256084147073,0.0,0.0,0.0,1.3610120143234832,0.0,4.517907459300731,33.145975717329065,0.0,0.0
2.4,20043,99.98,13.898123460322328,49.44263799357475,0.0,0.0,0.0,1.7837154044376025,0.0,5.920016670807854,28.934366054190797,0.0,0.0
2.46,20044,99.98,20.127404234427193,47.73759874633474,0.0,0.0,0.0,2.587316354874335,0.0,8.575863748689072,20.950537747153984,0.0,0.0
2.38,20045,99.98,14.612611909348798,51.56078159873346,0.0,0.0,0.0,3.6835581138516114,0.0,0.0,30.12165668064709,0.0,0.0
2.31,20046,99.98,9.22483975298622,50.84042039388776,0.0,0.0,0.0,1.0962417589772766,0.0,3.605423686732603,35.212048382264825,0.0,0.0
2.52,20047,99.98,14.083361206366227,49.160006136820705,0.0,5.167251101164471,0.0,0.0,2.900631450972608,0.0,28.667926819119895,0.0,0.0
2.49,20048,99.98,12.945472194953698,49.37433696760819,0.0,4.481143071134333,0.0,0.0,3.594129614926558,0.0,29.584103837960186,0.0,0.0
2.44,20049,99.98,11.415937663334066,50.06050008161486,0.0,3.60206715765822,0.0,0.0,2.6895667923779274,0.0,32.211101208308364,0.0,0.0
1.91,123482,100.0,0.0,68.34446800219001,30.054346452168918,0.0,0.0,1.156627957565008,0.4402205736403334,0.0,0.0,0.0,0.0
1.92,123483,100.0,0.0,68.17792341540297,29.880442401608736,0.0,0.0,1.1473377731668954,0.7899848650258039,0.0,0.0,0.0,0.0
1.94,123484,99.99,0.0,67.83901427183119,29.5233180120655,0.0,0.0,1.1519828653659516,1.471422191345772,0.0,0.0,0.0,0.0
1.98,123485,99.99,0.0,67.5143882858743,29.17861534041942,0.0,0.0,1.1519828653659516,2.140798680031758,0.0,0.0,0.0,0.0
2.08,123486,100.0,0.0,67.33550788039366,29.010922148807815,0.0,0.0,1.0683712057829389,2.581019253672092,0.0,0.0,0.0,0.0
2.13,123487,100.0,0.0,66.87665015698283,28.50163171502442,0.0,0.0,1.1380475887687829,3.4795516574037313,0.0,0.0,0.0,0.0
2.14,123488,100.0,0.0,66.61098107118521,28.228353921286992,0.0,0.0,1.1101770355744454,4.0464110262008735,0.0,0.0,0.0,0.0
2.16,123489,99.99,0.0,66.27176143993452,27.865018672795177,0.0,0.0,1.1334024965697267,4.71578751488686,0.0,0.0,0.0,0.0
2.18,123490,100.0,0.0,65.97896596218477,27.551370295891985,0.0,0.0,1.1287574043706705,5.336920653036919,0.0,0.0,0.0,0.0
2.19,123491,99.99,0.0,65.72426057504329,27.299830508474578,0.0,0.0,1.0823064823801078,5.879658346566098,0.0,0.0,0.0,0.0
1.92,123492,99.97,0.0,68.05044686311948,29.479841999425457,0.0,0.0,2.025260198788528,0.4100684795553791,0.0,0.0,0.0,0.0
1.98,123493,100.0,0.0,67.68493232509535,29.076136167767885,0.0,0.0,2.0345503831866405,1.200053344581183,0.0,0.0,0.0,0.0
2.05,123494,100.0,0.0,67.37692222669396,28.731433496121806,0.0,0.0,2.0902914895753155,1.797064807463279,0.0,0.0,0.0,0.0
2.13,123495,99.99,0.0,66.99488331406229,28.25940821602988,0.0,0.0,2.313255915130016,2.4181979456133385,0.0,0.0,0.0,0.0
2.15,123496,100.0,0.0,66.9272913728388,28.21282677391554,0.0,0.0,2.2203540711488907,2.63529302302501,0.0,0.0,0.0,0.0
2.16,123497,99.99,0.0,66.50310430321937,27.756328641195058,0.0,0.0,2.252869716542284,3.4735212385867404,0.0,0.0,0.0,0.0
2.18,123498,100.0,0.0,66.17120285897684,27.38057167480609,0.0,0.0,2.313255915130016,4.130836889638745,0.0,0.0,0.0,0.0
2.2,123499,100.0,0.0,65.82503079437828,27.02034185578857,0.0,0.0,2.2900304541347345,4.86051756649464,0.0,0.0,0.0,0.0
2.23,123500,100.0,0.0,65.52580690853188,26.712904337833958,0.0,0.0,2.257514808741341,5.499741961095672,0.0,0.0,0.0,0.0
2.24,123501,100.0,0.0,65.3452479676836,26.507945992530882,0.0,0.0,2.2993206385328473,5.843475833664152,0.0,0.0,0.0,0.0
2.06,123502,100.0,0.0,67.50648890843858,28.44262855501293,0.0,0.0,3.43736822730163,0.6090723005160777,0.0,0.0,0.0,0.0
2.13,123503,100.0,0.0,67.23973311576475,28.147612754955475,0.0,0.0,3.47452896489408,1.1337187375942832,0.0,0.0,0.0,0.0
2.16,123504,100.0,0.0,66.9683701569425,27.871229531743754,0.0,0.0,3.43736822730163,1.7186693628423977,0.0,0.0,0.0,0.0
2.16,123505,100.0,0.0,66.67914935984905,27.57000287273772,0.0,0.0,3.418787858505405,2.3277416633584753,0.0,0.0,0.0,0.0
2.18,123506,100.0,0.0,66.34361389662013,27.256354495834533,0.0,0.0,3.2840801847327734,3.1116961095672884,0.0,0.0,0.0,0.0
2.2,123507,100.0,0.0,66.10641417594564,26.998603849468545,0.0,0.0,3.3026605535289986,3.588099196109567,0.0,0.0,0.0,0.0
2.23,123508,100.0,0.0,65.79809358986535,26.647690318873888,0.0,0.0,3.3769820287138983,4.173049821357681,0.0,0.0,0.0,0.0
2.24,123509,100.0,0.0,65.48700368919248,26.296776788279235,0.0,0.0,3.442013319500686,4.770061284239778,0.0,0.0,0.0,0.0
2.35,123510,100.0,0.0,65.3373980148987,26.15703246193623,0.0,0.0,3.3816271209129547,5.1198255756252475,0.0,0.0,0.0,0.0
2.36,123511,100.0,0.0,64.96104890294292,25.74711577133008,0.0,0.0,3.4141427663063486,5.873627927749107,0.0,0.0,0.0,0.0
2.14,123512,100.0,0.0,67.1370678796976,27.70043091065786,0.0,0.0,4.542900170677019,0.6151027193330687,0.0,0.0,0.0,0.0
2.17,123513,100.0,0.0,66.8312186577898,27.371255386383226,0.0,0.0,4.556835447274188,1.236235857483128,0.0,0.0,0.0,0.0
2.18,123514,100.0,0.0,66.6157327968553,27.16008618213157,0.0,0.0,4.501094340885512,1.7186693628423977,0.0,0.0,0.0,0.0
2.2,123515,100.0,0.0,66.24568599602316,26.737747773628268,0.0,0.0,4.593996184866638,2.4181979456133385,0.0,0.0,0.0,0.0
